Tabel 1
Substance;Sector;EDGAR Country Code;Country;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
GWP_100_AR5_N2O;Fires;BFA;Burkina Faso;Africa;1,0846226596411;1,3823477257583;0,81266342730721;0,6095297064118;0,97779574178596;0,97779574178596;1,1894731199614;0,23480764743629;1,3403514909175;1,2348004081874;0,8734372809147;1,1362174311783;0,98482939580516;0,90467514524404;0,99157811855334;1,0600320663025;0,75954498768974;0,81344197998317;0,68254495127764;0,76835407712619;0,79904362173993;0,76177501785453;0,52386743539908;0,61463414533589;0,56732298572738;0,44058378556691;0,62252717897516;0,53616463553347;0,38888303847087;0,40963042751823;0,35935104222485;0,50135996122496;0,3869139025095;0,71876026698208;1,0260079318338
CO2;Forest Land;BFA;Burkina Faso;Africa;21,808790678474;22,219012163652;23,003960031439;23,835791519385;24,704955677324;25,26357839903;25,725059075186;26,244747513973;26,703401313297;19,055703572257;19,394604682446;19,167280146706;24,852313883284;25,673528159495;28,074557838706;31,42158980399;33,240282972235;33,191430274262;28,962867855478;29,023451095878;30,455664219492;41,143381335306;43,793660088451;45,090299552561;45,31537596792;41,861217660874;46,588987820297;49,592340155487;50,567453092435;51,554794142748;51,311787086299;52,13249485145;52,282896566082;52,794467714292;53,306038862503
CO2;Deforestation;BWA;Botswana;Africa;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00040235127998263;0,00075251523641255;0,00045453860353535;0;0,0001588745805991;0,00025045622436847;0,0016607888806681;0,00050037265071498;0,00031957390949402;0,00043226484177332;0,0028615040568747;0,00025079906390906;0,00041121145101458;0,00068291482201951;0,00029636670537922;0;0,000022745546336887;0;0,00015958228373915;0;0,00034224796879064;0;0,00011408265626355;0,00011408265626355;0,00011408265626355
CO2;Fires;BWA;Botswana;Africa;46,148156938225;21,106297783249;24,441774575757;85,64375382577;17,27312849588;17,27312849588;14,927099367709;11,287451223625;14,563599017418;30,941163819182;125,48708460955;44,486468036398;127,93327232699;46,75861012652;18,67962826235;43,25425574745;39,45977751978;50,185425593;93,85403674547;12,89331669178;95,53561368301;158,35420037702;51,31040525831;63,8235018112;14,13726032529;44,9041845903;30,09597514771;73,88267039766;56,94866711362;80,22637743952;44,53099366984;167,70675450992;123,43071847492;200,74237453606;45,27486719468
GWP_100_AR5_CH4;Fires;BWA;Botswana;Africa;18,130980781585;8,3573227241187;9,4597222994367;29,417768119522;6,8465988231662;6,8465988231662;3,9166819581367;4,118701024467;5,7046874442845;10,478604927107;33,380533940489;9,8609281126262;30,297836774202;17,244795480593;5,229784837515;12,999744734507;7,7876233497994;15,101290611224;8,4893407193336;2,6985538936465;7,5206705058055;12,076052619651;4,1896363325298;12,069165314611;2,8455677055837;14,535507486132;10,895655505283;14,691933118305;16,688915944139;30,449651290844;2,7104222915882;27,002976823651;18,636179232464;36,918804121759;10,510412794947
GWP_100_AR5_N2O;Fires;BWA;Botswana;Africa;0,42446487365451;0,18088789598531;0,061483996550753;0,96407805826189;0,069977301121555;0,069977301121555;0,48229247768698;0,098735519565167;0,093644807714671;0,61577138576995;3,2775930220091;1,6852686993612;3,70832503566;0,48672116488911;0,70190231204073;1,0971910328395;2,0579843833772;1,1437364730779;5,1049998498544;0,8103158925862;5,9382556321723;8,158624796032;2,5182906340296;2,051072703507;1,0517600124509;0,71202861040642;0,51061461376071;2,3494609884514;1,1809268444207;0,40290105927269;1,888351800383;5,589876633652;4,083936414571;5,7534900924156;1,108338230699
CO2;Forest Land;BWA;Botswana;Africa;-5,1271397051265;-5,1139276129537;-5,0971077483096;-5,036932317954;-5,0029288026862;-4,9579329373544;-4,925436803695;-4,8990275758785;-4,8923364657545;-4,9571744582178;-5,2227031162859;-5,1423186482472;-4,6693603405642;-4,6942952469316;-5,5137090709703;-5,6736497491833;-5,7811201812138;-5,7940611652021;-5,9640452416867;-6,1751796600573;-6,158136401219;-6,147641720685;-6,1142954592413;-5,9664821667301;-5,8540575311185;-5,5516277349102;-5,2210800698754;-3,9104231309467;-3,9228474224862;-3,9200409917626;-4,0082185782457;-4,0837432125806;-4,3110526136512;-4,3098499604355;-4,3086473072197
CO2;Organic Soil;BWA;Botswana;Africa;0,51340044884515;0,51340044884515;0,51340044884515;0,51340044884515;0,51340044884515;0,51340044884515;0,51340044884515;0,51340044884515;0,5174989545128;0,53720790518482;0,55562903453279;0,55562903453279;0,55956957624054;0,56453989540826;0,5910576069694;0,59499243527719;0,58671236353095;0,59081748386523;0,59081748386523;0,59268599665309;0,59268599665309;0,58958253220658;0,58958253220658;0,58647421676009;0,58022147286736;0,58022147286736;0,58838291856287;0,59246648373728;0,59246648373728;0,62666256984081;0,6297724406873;0,6297724406873;0,63288246040043;0,63288246040043;0,64096565573308
CO2;Deforestation;CAF;Central African Republic;Africa;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;38,525704254691;54,589272151851;38,091627857781;22,89621275444;16,960777310229;23,720364529833;42,657259476708;22,086527193017;19,995123841314;21,725860415055;30,850144966041;27,623916135133;34,842112474297;31,688032031713;40,658128619514;22,683502712884;36,077938350027;29,312948722674;20,043244182727;27,83168592021;28,049575868504;24,620315603714;26,833859130809;26,833859130809;26,833859130809
GWP_100_AR5_CH4;Fires;CAF;Central African Republic;Africa;67,438800948943;69,48644122926;67,2470751532;53,491574694837;63,554786149542;63,554786149542;68,610934605304;45,715056049949;68,566552640452;61,547840346356;60,154944978031;67,397186976767;37,587922598138;59,685380273098;40,216247360918;55,207786058783;51,244330174285;53,01502202802;53,993528553254;36,066273238257;46,558719356521;52,417661794006;45,066034653476;42,278425337854;37,225029408212;41,375074586787;53,93065922876;44,599436871928;44,869087347623;39,643229611069;39,063041871057;41,846032067305;43,948965014966;19,858959041508;31,608073663262
GWP_100_AR5_N2O;Fires;CAF;Central African Republic;Africa;23,51695642025;24,121310886515;23,532413307115;18,352986205819;22,45701083902;22,45701083902;23,942899728305;14,977799911038;24,013770195655;21,711729229798;21,316944501876;23,602385266095;13,898665765251;22,115439845382;15,704772514813;20,06999474895;18,740437581555;19,424387468839;20,337295632798;13,300788849868;17,068033306542;19,195596957243;15,795774078743;15,543046505242;13,877407320044;15,131179186636;19,254444779836;15,779062330775;16,112195148807;13,89199687833;14,251692242738;14,939244240382;15,840741599368;7,7216526248827;11,901444797024
CO2;Forest Land;CAF;Central African Republic;Africa;-288,45688598536;-288,70288347377;-287,22007235775;-287,47948904945;-287,70291950656;-287,48209606726;-289,25850572592;-287,97005962945;-287,42001032627;-290,05960956692;-289,10320319027;-288,47213399207;-288,77979432477;-290,18599529568;-289,90702030344;-290,19692455683;-289,3301898684;-289,78740829003;-293,40880796553;-294,43581959655;-294,38797647935;-293,64594259126;-293,46568508576;-293,66316330313;-293,96193446758;-292,87503090457;-293,2788140246;-292,59194168865;-291,90289267789;-291,09761460354;-290,9053384074;-290,15286704697;-288,98805385427;-288,98609368725;-288,98413352024
CO2;Organic Soil;CAF;Central African Republic;Africa;0,03190271445485;0,03190271445485;0,03190271445485;0,03190271445485;0,03190271445485;0,03190271445485;0,031533606522938;0,031533606522938;0,031964633306904;0,031964633306904;0,031964633306904;0,031964633306904;0,031964633306904;0,031964633306904;0,031964633306904;0,031964633306904;0,034478247251264;0,035771402696493;0,036202434613791;0,036202434613791;0,036277505653791;0,03947936055417;0,040341436268767;0,040341436268767;0,041562023101231;0,041562023101231;0,044579227308988;0,045010336226286;0,045441440010251;0,055608128347548;0,056470243515479;0,056470243515479;0,05769072929461;0,05769072929461;0,060140587151482
