Tabel 1
EDGAR Country Code;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
BHS;Bahamas;0,14323345075173;0,13746458850051;0,12688740959219;0,12975380148218;0,13729494835434;0,14936585565064;0,15807710466986;0,15757078587404;0,17049943016014;0,14526710494261;0,11232116373141;0,1095034878905;0,11515808580357;0,092722718369473;0,09821105138511;0,094173138727246;0,11136977415524;0,12783555785311;0,13510214898312;0,1213415195391;0,1325022737805;0,096780662576301;0,10580548013946;0,11564900015769;0,1172756956333;0,11510507130498;0,12692148422136;0,13340098095869;0,1175876203305;0,13784848262877;0,14617966543699;0,14742034661748;0,13038032448764;0,1271654100468;0,12849128783395
BIH;Bosnia and Herzegovina;3,0620564510651;3,0612536424544;2,5124325343208;2,1970526582455;0,6618868429656;0,57192453224915;0,41008719489865;0,51930293728721;0,55731816145312;0,52260554099469;0,61013984081642;0,58183906900567;0,58535441017703;0,57502004301667;0,57992395156815;0,57676656186267;0,59847527838026;0,59338484362748;0,59366922716674;0,60738313160453;0,61402590820036;0,67856678033579;0,63978714840334;0,62011286614694;0,58141121897817;0,55657072446073;0,60503299577478;0,59726769979428;0,58254008955198;0,53630047966296;0,55155928323145;0,51152875922179;0,48628227711248;0,44706607454544;0,42730273113098
BLR;Belarus;1,1518902886505;1,1266386902859;1,1428928622953;1,1006482552498;1,0986714745915;1,120443918848;1,0882668250399;0,97674609464224;0,88512551828566;0,8318246488499;0,76149544366133;0,71531859457768;0,67976180187812;0,63787861713103;0,59563154235726;0,54898808477175;0,51534517645882;0,46800561446626;0,45675197689954;0,4423142271432;0,43262377671217;0,3999503228845;0,40010534067256;0,39768631866405;0,38835085737168;0,38357378929357;0,38975603991775;0,38740838612103;0,38851432389898;0,37406420452912;0,36578950565579;0,35775611090497;0,36425754431495;0,34091995854841;0,32991292174935
BLZ;Belize;0,28981175796236;0,26990463670358;0,23893799047363;0,21494354060887;0,21660269319283;0,20625646676124;0,19536694269248;0,23137590151546;0,23200039729311;0,22003000525684;0,17233325488086;0,17167193547998;0,1670824863434;0,16114644939343;0,14784207952925;0,15132227871744;0,17005694920438;0,17182040952268;0,17788497512173;0,19400591385328;0,20283308453891;0,19554461189087;0,18212221598375;0,19005349254896;0,17234526769673;0,17976481054317;0,18519029262786;0,19822580199058;0,19618996385181;0,21762619771162;0,23401628577668;0,20409903775095;0,19228407148395;0,19552330196182;0,18677243948177
BMU;Bermuda;0,06142178414501;0,057994504891704;0,0469778208371;0,050311066657527;0,049602410716942;0,047755007007179;0,047354102020995;0,046402092862864;0,045668816387895;0,044726627969371;0,029432465854378;0,02721183137381;0,030315406199859;0,030170911362525;0,02978438301104;0,031250778842606;0,036062499121929;0,041122420663978;0,042163248521219;0,039485515760317;0,050187147318288;0,027643251678916;0,033193367884538;0,036615923098056;0,050885996580559;0,04340937936974;0,057635510739228;0,051225709599749;0,05389105182349;0,053894643307672;0,04206209189296;0,045365018152804;0,044641047271416;0,044513708644244;0,045847361147073
BOL;Bolivia;0,80545289019414;0,8140804151177;0,83457488863454;0,8572677776063;0,86797114552073;0,65911293813895;0,63205567493364;0,69273188775735;0,61099806620245;0,59206437162889;0,56707582210919;0,53152330376022;0,53980984292118;0,54369166438945;0,54441529682247;0,53102893792303;0,52427761609052;0,53116326463885;0,51730625892234;0,51941860017751;0,54243837386427;0,52616823791052;0,52198666753045;0,50858879369681;0,49324738233317;0,48049819940349;0,47729526303146;0,46412988061402;0,45147043800226;0,44958814521141;0,46299251393738;0,47303288794553;0,47407191689449;0,47467266068628;0,52218035144553
BRA;Brazil;0,34457411367992;0,35529036301942;0,36857354651289;0,36432729553831;0,35800278278783;0,36037018542787;0,35467287777331;0,35350575711959;0,358823640913;0,36366100011591;0,35710606980295;0,35697240166002;0,35520171609568;0,36280187423687;0,3610311102622;0,35595694911233;0,34373763156072;0,33039996078635;0,32463575570527;0,31723798687593;0,31727071827469;0,31521044433887;0,31826634139423;0,31839127622438;0,32530543502736;0,33310805508239;0,33743205160087;0,33603935497398;0,32383656367162;0,32110389672432;0,33079394327976;0,3371871067854;0,32766035947753;0,32199641347114;0,31190299526542
BRB;Barbados;0,19503474291365;0,19616881036923;0,20500696027523;0,19371362129192;0,18695179114216;0,1861077534928;0,17741706013315;0,19068654703429;0,19795281967928;0,20447942413916;0,16988545522956;0,1660802852172;0,17056914942458;0,17280325711211;0,16932837336474;0,16549476602133;0,16277890368614;0,15385865669556;0,17421474478931;0,1851452735022;0,19270933685688;0,16728531014635;0,16015701193259;0,17799951807371;0,165695293393;0,17715448722195;0,1844804895486;0,16718125947278;0,18820291602113;0,20434738915161;0,19508228971618;0,19234007965632;0,17082990741556;0,16376562134156;0,1615723261771
BRN;Brunei;0,19397928397275;0,20530777816916;0,21902048168753;0,23109647977851;0,23322810454944;0,23945209096539;0,25156698409703;0,25221944172328;0,2526938178759;0,25765417015851;0,25913568272273;0,2627233812656;0,22862390168831;0,24906518524045;0,23479523517702;0,22588586318918;0,30369357773093;0,30122332980815;0,37426263329658;0,32571910563297;0,2871229215914;0,29614280085565;0,28421689595825;0,28862534812087;0,30205220765349;0,28271415838563;0,30199606827184;0,29796604787409;0,30450961999775;0,28388092222637;0,35513226667261;0,35460983122681;0,3424339088116;0,3430079447005;0,32474968788453
BTN;Bhutan;0,56263533290348;0,51208845353462;0,47329166892835;0,47856875180632;0,48865993464166;0,52178363513424;0,5040847476081;0,48380611225363;0,46441266581459;0,44051464059101;0,42787483365469;0,40288267830227;0,37524330866557;0,35601734730898;0,34140777651332;0,34809171352181;0,34749139834756;0,30326476496171;0,29720473100684;0,30126088774628;0,28665686136263;0,29376474379004;0,27255543376286;0,28235375830514;0,2719085540426;0,27557865361945;0,26938023361976;0,27230308305815;0,29151144319867;0,27990089905647;0,27188694529758;0,27347198032866;0,25495050390544;0,24248994192638;0,23420024978009
BWA;Botswana;0,67485972424207;0,5610274274078;0,56140183296966;0,53968183801677;0,52412528866778;0,54976594653895;0,47131015133789;0,44682655895422;0,4877195398127;0,47703732733995;0,49506164138304;0,4621421728239;0,42683520171147;0,38480524607592;0,37302539881779;0,38356959827308;0,34990469738379;0,3366343240508;0,34838909251678;0,38258875503934;0,36017906145124;0,35856662801947;0,31416827857661;0,33710346077722;0,3470697867953;0,37451278866573;0,32764267358532;0,32651582805929;0,3355857521408;0,2941512346431;0,28416811535378;0,28416604657117;0,27544487503286;0,26849353736653;0,26557393449088
CAF;Central African Republic;1,7867004191995;1,914861063122;2,0415596941818;1,8985232465755;1,9659434302796;1,8808098546489;2,0377709585684;1,7381450361463;1,9383163052959;1,8310716607709;1,9197727518366;1,9249252541333;1,6560539015489;1,9827368073062;1,7445301062042;1,8645147473731;1,7912644871034;1,8940954865829;1,8618165018154;1,613679719663;1,6432609564446;1,7100983562519;1,5913877585015;2,4903738644658;2,473383475477;2,4579855229673;2,49888737964;2,2945770753989;2,2705075958134;2,1678213031265;2,2059581322579;2,2110747898643;2,2567661044497;2,1894462248746;2,2622058103182
CAN;Canada;0,52686884320188;0,5340903819079;0,54435595586889;0,53482717370424;0,53374432076737;0,53285027075361;0,53847638010765;0,52691470665898;0,51421300506003;0,49650362621983;0,48774885808139;0,47286867148406;0,47338379646126;0,47727549020021;0,45602881922168;0,45445444663715;0,44045914623873;0,44382160641882;0,42601478987988;0,41554767911971;0,41478275670305;0,41150920118649;0,40233125187718;0,39882010015255;0,39314769325854;0,3868252034374;0,38110133174367;0,37987527357299;0,38061732099549;0,3718461239324;0,35414847871162;0,3408740813834;0,33528608383485;0,32758161427218;0,32812828758314
