Tabel 1
Substance;Sector;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Forest Land;Eastern Europe and West-Central Asia;-1954,4326803018;-1951,7691673241;-1950,1970126902;-2027,0498656973;-2174,8502221747;-2171,0486076129;-2165,0516626704;-2130,798707961;-2181,5737986941;-2132,5381635362;-1995,8258891301;-1979,5910666843;-1976,9472677783;-1952,9300526079;-1939,8062885032;-1931,6811936372;-1913,2928307613;-1877,4771374188;-2022,7445487022;-2038,0396109051;-1991,456825766;-1951,7137044151;-1936,4898414383;-1957,5851288667;-1936,4787242246;-1931,0248297167;-1925,2861887219;-1924,0964029563;-1850,3651835372;-1877,2320097992;-1873,4565665642;-1859,8925791544;-1922,5855800783;-1945,6301193032;-1968,6746585281
CO2;Organic Soil;Eastern Europe and West-Central Asia;129,79942938465;127,37867242423;122,59424220563;119,72452351309;118,56971010361;118,67480596386;118,37578344482;118,29602634457;118,48683839561;119,25735966331;119,46758554776;119,38870321949;119,22588843309;118,99854920599;118,71115167106;118,5396791075;118,30769874444;118,0903773173;117,65782269442;117,68359912355;117,82681459535;118,15095181765;118,53330272953;118,99588403742;121,63797816455;118,31978503489;118,34400842262;118,24472429641;118,58245584704;118,80186099864;118,98186549291;119,30817526151;119,25420018511;119,25420018511;119,41571020977
CO2;Other Land;Eastern Europe and West-Central Asia;-40,538339829621;29,699689641548;29,381874433286;44,756504293908;37,286169108359;48,7799444509;8,548894668664;37,097519294712;-45,315108024322;-11,873366850842;-13,69379621131;14,161475607464;-7,1744913316966;-108,68854368016;1,8783967025544;-16,57711906884;-30,347252799901;-14,334812139323;-77,753420598235;-10,203834714854;-140,09901769115;-67,124889300933;-223,47829274586;-18,279340094677;-146,0217503012;-78,004186750235;-160,92778439503;-131,57052143467;-202,29102782596;-88,825357793903;-132,26123435978;-111,98718725527;-102,03691291194;-102,03691291194;-102,03691291194
CO2;Deforestation;Europe;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,0944800134732;1,1896226310656;1,1043529372392;0,98946447211492;2,4412765371475;2,2979036946617;1,9238018787105;1,8460260427046;1,9529582887281;1,7568802798127;2,1916278560969;1,713164378663;2,3547375976958;1,8221285816554;2,0597351539644;1,9867768115305;3,2132197070514;3,1421661753389;2,8887977911699;3,2091826551195;3,3843743366852;4,7154173262011;3,7696581060019;3,7696581060019;3,7696581060019
CO2;Fires;Europe;34,020376889471;25,60421252544;22,258747655651;14,747702195772;35,742966446688;35,742966446688;40,089628112825;8,0840185229595;52,17024341143;22,474815481087;33,854402423516;37,242426860303;3,05400538968;15,02848251788;3,28138973712;11,1747297503;6,04832498027;10,97588797426;2,98079493739;3,58556931946;3,7394092026;6,43844592218;10,65474298885;3,25945411575;2,58570948512;3,16404490682;5,38482797379;20,7784208215;2,26721233364;6,17619310779;5,58672333779;10,62556286646;12,85013727213;6,7166374772;6,16970588283
GWP_100_AR5_CH4;Fires;Europe;3,5085467840869;2,0400440824565;1,8389963894495;1,2050426151136;3,0670996819911;3,0670996819911;3,5323013110771;1,0655390850068;4,6655390260478;1,837677165801;2,8889510666101;3,7320018114715;0,45562512781716;1,7055627730907;0,25722421449256;0,97230514129588;0,54241379014284;1,0269102464726;0,36536597015436;0,23848519975616;0,332325369845;0,89203848974016;1,2740657968987;0,31426933074824;0,26776960487004;0,35120199648464;0,38239061083412;1,7800840782662;0,20966450289372;1,2348554127224;0,69387953539772;0,8108328106466;1,6265737348423;0,58823039647036;0,45891643992796
GWP_100_AR5_N2O;Fires;Europe;1,3028818187817;1,0430380106871;0,88246388755863;0,59036003901109;1,4318403723534;1,4318403723534;1,6177745982198;0,27822439342599;2,1172332890964;0,90759062744432;1,3546263372388;1,4403426540327;0,087677778282055;0,53818803372375;0,12044832823643;0,44126639054424;0,23299107678329;0,38940174011636;0,11834472144727;0,13532784096391;0,13688855465904;0,19629085016;0,35523989862219;0,11698193837161;0,097697042794505;0,10571025344909;0,21549484635187;0,83889756853875;0,08601003244982;0,15612181741884;0,19736023550175;0,44675466953882;0,44987688575485;0,27367476000047;0,24132336141186
CO2;Forest Land;Europe;-559,40875947199;-684,35372113836;-685,1570882661;-698,76037344289;-649,45890502091;-613,94145201824;-639,59077817463;-603,87853112011;-601,95453223224;-567,21879435158;-492,82461469261;-551,49046592668;-538,908691114;-520,15808169137;-506,39002401823;-456,57316335289;-504,56926537395;-434,73815126094;-527,07407737332;-602,03239782084;-526,53277198835;-505,33893537328;-519,86060996455;-520,1903683959;-495,9306731226;-489,94444840492;-472,75147294004;-462,69730956975;-410,12257828592;-407,76755212681;-439,24559361037;-388,8617631683;-402,94771488016;-401,75641708167;-400,56511928317
CO2;Organic Soil;Europe;194,91970466557;195,43546602741;196,0480184378;194,15402718325;194,72516770522;195,08992631387;195,08904236372;194,18650795892;193,99698902653;196,44826450466;196,33213419895;197,70450869974;198,22987505903;197,97514524757;197,18095432667;198,76702326462;200,45611481818;199,60080739805;200,1824461165;201,46701230202;200,48925547433;201,76368439582;202,1728450523;203,05322713555;203,41813512047;204,64473001249;204,93424318007;205,3568278898;206,97035418649;207,4176274618;208,61829279576;208,31971044837;209,09783406678;209,09783406678;209,13904434866
CO2;Other Land;Europe;20,006154317683;49,857266059256;64,207426837859;53,082247455586;39,466890314751;41,948379081271;40,023122842133;34,336791755133;25,693058134794;26,926908130737;-3,9995801727655;12,807455242336;5,7721465742095;-32,451525048129;-9,4716317678664;-30,244407729921;-23,855668927302;-35,72015380455;-0,85591787490461;10,838839038567;-13,068661499777;-13,291852363369;-21,946773141148;-2,3787390345872;-11,797428254013;-23,178189361268;-39,437589343313;-81,736628981877;-38,314397708235;-36,871525758877;-37,297388709735;-73,858976616452;-52,111160222036;-52,111160222036;-52,111160222036
